,hashtag,frequency
7097,modiresign,18
8369,pmcares,18
4011,faridabad,17
4465,getvaccinatednow,17
10212,tatkal,17
10459,thirdwave,17
1726,centralgovernment,17
6443,livestockrates,17
3936,factcheck,17
11650,website,17
2305,covax,17
9496,server,17
8703,pushpa,17
4703,gst,17
10488,thursdaythoughts,17
7858,odishafightscorona,17
2721,cowinblocked,17
11904,yoga,17
7080,modijibirthday,17
9206,sabkovaccinemuftvaccine,17
7396,naredramodi,17
162,500deathsatfarmersprotest,17
5930,justasking,17
11035,vaccinateeveryindian,17
2490,covidhelponline,17
11441,verified,16
5616,internet,16
11503,virus,16
11073,vaccinationcentre,16
1310,bjpap,16
9883,startup,16
217,aadharcard,16
9446,secondwave,16
9157,rss,16
665,apollohospitals,16
5734,jabbed,16
11200,vaccinecertificates,16
6820,media,16
1342,bjymap,16
313,activenoisecancelling,16
1966,cmomaharashtra,16
2633,covidwarrior,16
2374,covid19pandemic,16
10774,tws,16
11927,youngandvaccinated,16
12145,कोविन,16
7000,missionmodi,16
5478,indiavaccination,16
11485,viral,16
231,aap,16
7077,modiji,16
2973,cscfightcovid,16
8295,pibfactcheck,16
11947,youtube,16
4656,govtofindia,16
6050,kbc,16
9759,somuverraju,16
5028,hindi,16
3685,edballsday,16
5699,it,16
7382,namo2,16
4758,guwahati,15
6594,mahacovid,15
9191,russia,15
12592,ป่ะล่ะ,15
4304,frontlineworkers,15
2462,covidcrisis,15
7115,modivsyogi,15
7103,modisarkarhisystemhai,15
5383,indianarmy,15
1993,cofail,15
5758,jaihind,15
9777,sos,15
4908,healthforall,15
9405,school,15
546,amitshah,15
62,1billion,15
6531,love,15
2274,corruption,15
2355,covid19help10,15
12291,भाषणबाज_मोदी,15
8373,pmcaresfunds,15
7189,motivation,15
5092,hospitals,15
1318,bjpfailsindia,15
10142,system,15
113,2cr,15
570,anc,15
3981,fakenews,15
7597,newsnl,15
11386,vadodara,15
6704,mannkibaat,15
3242,delhincr,15
9480,seniorcitizens,15
8342,platform,15
4982,helpinghand,15
1769,chandigarh,15
7548,newdelhi,15
7426,national,15
3692,education,14
2457,covidcertificate,14
6730,marathinews,14
7711,noise,14
7445,nationalnews,14
2366,covid19nsw,14
7064,modigovt,14
9499,serverdown,14
896,azadikaamritmahotsav,14
1397,bluetooth5,14
5553,infosys,14
2704,cowinapex,14
1934,cm,14
4036,fastestfingerfirst,14
966,bangalorevaccine,14
8784,rahulwasright,14
4646,governmentofindia,14
8538,pregnant,14
5681,isra_fightcorona,14
11278,vaccinemandate,14
11640,wearmask,14
6763,maskup,14
10055,sunnews,14
2508,covidisnotover,14
7195,movid21,14
7137,monday,14
2480,covidfreeindia,14
3239,delhihighcourt,14
9050,resign_pm_modi,14
1178,bharat,14
8431,policy,14
1743,certification,14
5993,kannadanews,14
9279,sanatandharma,14
9715,sms,14
8565,primeminister,14
3260,deltavariant,14
3258,deltaplusvariant,14
4092,fightagainstcorona,14
12299,मराठी,14
12021,لقاء_ولي_العهد,14
368,aefi,14
10535,tmc,14
1356,blackfungus,14
1288,birsamunda,14
7792,nowin,14
3320,dgfiaexposesimrankhan,14
9916,stayhealthy,14
10795,uddhavthackeray,14
8688,punevaccination,14
12618,방탄소년단,13
11578,waitingforotp,13
387,age18,13
5586,instagram,13
4919,healthministerofindia,13
3790,enoughisenough,13
3887,exclusive,13
3395,digitalmarketing,13
4593,goodmorning,13
1905,citizens,13
7500,ndtvexclusive,13
2871,cowinupdate,13
4019,farmersprotest,13
8044,oxygenconcentrator,13
11220,vaccinediscrimination,13
11821,world,13
788,askenhypen,13
3544,doreapallidilipnaidu,13
1307,bjp4india,13
5949,justsaying,13
6083,keralahighcourt,13
5414,indiangovernment,13
12286,भारत_का_वीर_पुत्र_मोदी,13
7416,nashik,13
7943,online,13
4104,fightcovid19,13
7652,nifty,13
2170,coronaindia,13
10845,under45,13
6146,kisanmaresarkarsoye,13
559,amritmahotsav,13
3072,dailynews,13
1133,besafe,13
8234,people,13
9435,secondcovidwave,13
12022,متحرش_في_امه,13
5014,highcourt,13
7034,moderna,13
4525,global,13
10487,thursdaymotivation,13
6715,mansukhmandaviya,13
4437,genshinimpact,13
1453,boomfactcheck,13
2160,coronacurfew,13
6762,masks,12
10923,up,12
806,assamearthquake,12
12136,कोविड,12
4924,healthministryofindia,12
10924,up_सरकार_वेंटिलेटर_पर,12
3023,cybercrime,12
10868,unionhealthministry,12
8720,quacktwtselfieday,12
871,awareness,12
10962,us,12
11780,wireless,12
8711,python,12
2689,cowin2,12
8216,pcmc,12
11939,youth,12
11975,zee24kalak,12
6020,karnatakafightscorona,12
5320,indiaat75,12
350,admissionsopen,12
8850,ranchi,12
10597,toofaan,12
7721,nootp,12
10005,students,12
11137,vaccinationscam,12
7855,odishacares,12
11255,vaccinehesitancy,12
9158,rss_देश_की_शान,12
2183,coronapreventiontips,12
5469,indiatravelgram,12
7063,modigovernment,12
10584,tokyo2020,12
1927,cloud,12
7144,mondaythoughts,12
11114,vaccinationghotala,12
8016,otps,12
7072,modiinamerica,12
3654,earphone,12
1730,centre,12
3873,evin,12
7827,nusratjahan,12
8189,patiala,12
10093,surat,12
426,ai,12
5732,jab,12
7312,mygov2021,11
7653,nifty50,11
2311,covaxin4kids,11
10616,tourism,11
888,ayurveda,11
9456,security,11
1856,childvaccination,11
9262,samacharwala,11
6297,largestfreevaccinationdrive,11
2877,cowinvaccine,11
1662,captcha,11
7672,nitishkumar,11
9888,startups,11
12593,รู้งี้เป็นแฟนกันตั้งนานแล้ว,11
9741,software,11
5998,kanpuraccident,11
11025,vaccinateall,11
11755,whofailedindia,11
11751,whitetwitter,11
4271,freevaccinationforall,11
1296,bitcoin,11
2731,cowincertificate,11
4897,healthcareworkers,11
3267,demonetization,11
7629,neyday,11
1143,beterschapthierry,11
147,3rdwave,11
2293,courses,11
6393,life,11
2296,cova,11
3617,dryrun,11
12137,कोविड19,11
5018,highquality,11
2907,crash,11
11738,wherearevaccines,11
9985,stpiindia,11
3694,educationbydesign,11
1868,chinesevirus,11
4057,featured,11
587,android,11
7422,natgeotravellerindia,11
10704,tripura,11
3714,eisamay,11
1884,christon,11
7060,modifailsindia,11
2823,cowinplatform,11
8531,precautions,11
6927,mi11lite,11
11071,vaccinationcenter,11
11814,workout,11
1456,booster,11
9228,safety,11
3497,doctors,11
3133,dataprotection,11
6070,kejriwalisolationscam,11
951,bandhruvrathee,11
3118,databreach,11
2414,covid19vaccineregistration,11
10235,teamindia,11
7900,omicronvarient,11
8987,reimagineeducation,11
694,apps,11
12014,انقدو_صباح_القحطاني,11
6503,loki,11
7082,modikavaccinedisaster,11
2781,cowinhelpline,11
8371,pmcaresfund,11
4485,ghaziabad,11
